Mozilla/5.0 (Windows NT 10.0; 6; Win64; x64)V473H) AppleWebKit/537.36 (KHTML, like Gecko)94.0.4631.57 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 11; Win64; x64)G959K) AppleWebKit/537.36 (KHTML, like Gecko)84.0.4502.145 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 11; Win64; x64)D902G) AppleWebKit/537.36 (KHTML, like Gecko)83.0.4429.115 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 9; Win64; x64)V346B) AppleWebKit/537.36 (KHTML, like Gecko)78.0.4706.102 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 8; Win64; x64)G778Z) AppleWebKit/537.36 (KHTML, like Gecko)96.0.4343.84 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 9; Win64; x64)S632N) AppleWebKit/537.36 (KHTML, like Gecko)75.0.4410.67 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 6; Win64; x64)W573N) AppleWebKit/537.36 (KHTML, like Gecko)77.0.4789.65 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 10; Win64; x64)T611E) AppleWebKit/537.36 (KHTML, like Gecko)78.0.4833.141 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 7; Win64; x64)S195G) AppleWebKit/537.36 (KHTML, like Gecko)95.0.4437.56 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 9; Win64; x64)Y455A) AppleWebKit/537.36 (KHTML, like Gecko)96.0.4524.60 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 8; Win64; x64)H415D) AppleWebKit/537.36 (KHTML, like Gecko)95.0.4495.104 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 12; Win64; x64)L718R) AppleWebKit/537.36 (KHTML, like Gecko)96.0.4349.109 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 10; Win64; x64)A16N) AppleWebKit/537.36 (KHTML, like Gecko)81.0.4615.116 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 10; Win64; x64)R322S) AppleWebKit/537.36 (KHTML, like Gecko)90.0.4370.65 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 12; Win64; x64)P10Q) AppleWebKit/537.36 (KHTML, like Gecko)73.0.4386.52 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 6; Win64; x64)O623K) AppleWebKit/537.36 (KHTML, like Gecko)81.0.4744.122 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 9; Win64; x64)T861I) AppleWebKit/537.36 (KHTML, like Gecko)89.0.4318.90 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 6; Win64; x64)H554N) AppleWebKit/537.36 (KHTML, like Gecko)73.0.4536.123 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 11; Win64; x64)D561S) AppleWebKit/537.36 (KHTML, like Gecko)84.0.4672.89 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 8; Win64; x64)I9X) AppleWebKit/537.36 (KHTML, like Gecko)73.0.4543.140 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 9; Win64; x64)K729U) AppleWebKit/537.36 (KHTML, like Gecko)97.0.4740.99 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 11; Win64; x64)T387Y) AppleWebKit/537.36 (KHTML, like Gecko)90.0.4359.146 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 11; Win64; x64)I84A) AppleWebKit/537.36 (KHTML, like Gecko)80.0.4224.91 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 12; Win64; x64)R807H) AppleWebKit/537.36 (KHTML, like Gecko)79.0.4768.139 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 9; Win64; x64)H831K) AppleWebKit/537.36 (KHTML, like Gecko)73.0.4677.126 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 9; Win64; x64)A218B) AppleWebKit/537.36 (KHTML, like Gecko)89.0.4875.58 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 9; Win64; x64)F75O) AppleWebKit/537.36 (KHTML, like Gecko)84.0.4751.135 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 11; Win64; x64)P713B) AppleWebKit/537.36 (KHTML, like Gecko)73.0.4696.81 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 8; Win64; x64)K542J) AppleWebKit/537.36 (KHTML, like Gecko)90.0.4731.43 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 10; Win64; x64)S937Q) AppleWebKit/537.36 (KHTML, like Gecko)88.0.4348.147 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 8; Win64; x64)P482U) AppleWebKit/537.36 (KHTML, like Gecko)92.0.4651.129 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 12; Win64; x64)U926N) AppleWebKit/537.36 (KHTML, like Gecko)96.0.4282.116 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 10; Win64; x64)K899U) AppleWebKit/537.36 (KHTML, like Gecko)80.0.4649.60 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 7; Win64; x64)X310C) AppleWebKit/537.36 (KHTML, like Gecko)99.0.4873.51 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 12; Win64; x64)T536R) AppleWebKit/537.36 (KHTML, like Gecko)92.0.4263.77 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 9; Win64; x64)B92R) AppleWebKit/537.36 (KHTML, like Gecko)97.0.4378.106 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 6; Win64; x64)X297M) AppleWebKit/537.36 (KHTML, like Gecko)94.0.4619.109 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 6; Win64; x64)E539U) AppleWebKit/537.36 (KHTML, like Gecko)74.0.4785.66 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 7; Win64; x64)P466J) AppleWebKit/537.36 (KHTML, like Gecko)93.0.4535.138 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 6; Win64; x64)C664B) AppleWebKit/537.36 (KHTML, like Gecko)86.0.4575.73 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 8; Win64; x64)R817H) AppleWebKit/537.36 (KHTML, like Gecko)80.0.4858.138 Chrome/105.0.0.0 Safari/537.36
Mozilla/5.0 (Windows NT 10.0; 7; Win64; x64)X799H) AppleWebKit/537.36 (KHTML, like Gecko)85.0.4745.129 Chrome/105.0.0.0 Safari/537.36
